"Num_Acc";"id_vehicule";"num_veh";"senc";"catv";"obs";"obsm";"choc";"manv";"motor";"occutc"
"202400000183";"155781430";"A01";"2";"7";"0";"2";"3";"1";"1";""
"202400000184";"155781425";"C01";"2";"7";"0";"2";"5";"2";"1";""
"202400000184";"155781427";"A01";"2";"33";"0";"2";"2";"9";"1";""
"202400000184";"155781429";"B01";"2";"7";"0";"2";"6";"2";"1";""
"202400000185";"155781426";"A01";"1";"33";"0";"0";"0";"0";"1";""
"202400000186";"155781423";"A01";"1";"7";"6";"0";"1";"15";"1";""
"202400000187";"155781421";"B01";"1";"7";"0";"2";"6";"2";"1";""
"202400000187";"155781422";"C01";"2";"7";"0";"2";"1";"5";"1";""
"202400000187";"155781424";"A01";"1";"7";"0";"2";"1";"21";"1";""
"202400000188";"155781418";"B01";"3";"7";"0";"2";"3";"0";"1";""
"202400000188";"155781420";"A01";"3";"33";"0";"2";"3";"0";"1";""
"202400000189";"155781417";"A01";"1";"3";"0";"2";"4";"26";"6";""
"202400000189";"155781419";"B01";"1";"99";"0";"2";"1";"26";"6";""
"202400000190";"155781416";"A01";"1";"7";"6";"0";"1";"2";"1";""
"202400000191";"155781415";"A01";"1";"33";"14";"0";"3";"11";"1";""
"202400000192";"155781413";"B01";"1";"10";"0";"2";"3";"21";"1";""
"202400000192";"155781414";"A01";"2";"1";"0";"2";"1";"13";"5";""
"202400000193";"155781411";"A01";"3";"7";"14";"0";"1";"2";"1";""
"202400000193";"155781412";"B01";"3";"7";"0";"2";"1";"2";"1";""
"202400000194";"155781409";"A01";"3";"7";"0";"2";"2";"9";"1";""
"202400000194";"155781410";"B01";"3";"33";"0";"2";"3";"1";"1";""
"202400000195";"155781408";"A01";"2";"2";"0";"0";"0";"0";"0";""
"202400000196";"155781405";"A01";"2";"7";"0";"2";"8";"16";"1";""
"202400000196";"155781407";"B01";"1";"7";"0";"2";"3";"1";"1";""
"202400000197";"155781404";"B01";"1";"1";"0";"2";"4";"1";"5";""
"202400000197";"155781406";"A01";"1";"7";"0";"2";"1";"16";"1";""
"202400000198";"155781403";"A01";"2";"7";"17";"0";"1";"1";"1";""
"202400000199";"155781401";"B01";"2";"7";"0";"2";"1";"2";"1";""
"202400000199";"155781402";"A01";"1";"7";"0";"2";"3";"0";"1";""
"202400000200";"155781400";"A01";"0";"1";"0";"0";"0";"0";"5";""
"202400000201";"155781399";"A01";"1";"1";"0";"0";"8";"1";"5";""
"202400000202";"155781398";"A01";"0";"10";"0";"1";"4";"4";"1";""
"202400000203";"155781397";"A01";"1";"7";"13";"0";"0";"1";"1";""
"202400000204";"155781394";"B01";"2";"10";"11";"2";"1";"1";"1";""
"202400000204";"155781396";"A01";"2";"7";"11";"2";"1";"15";"1";""
"202400000205";"155781393";"A01";"1";"7";"0";"2";"3";"13";"1";""
"202400000205";"155781395";"B01";"2";"10";"0";"2";"3";"1";"1";""
"202400000206";"155781392";"A01";"2";"7";"17";"0";"1";"1";"1";""
"202400000207";"155781390";"A01";"2";"7";"0";"2";"3";"13";"1";""
"202400000207";"155781391";"B01";"1";"15";"0";"2";"3";"1";"1";""
"202400000208";"155781388";"A01";"2";"7";"0";"2";"1";"2";"1";""
"202400000208";"155781389";"B01";"2";"7";"0";"0";"4";"2";"3";""
"202400000209";"155781387";"A01";"1";"7";"13";"0";"1";"1";"1";""
